_id,Date Time,profile,company,Location,Start Date,Stipend,Duration,Apply by Date,Offer,Skills and Perks,,,,,,,,,,
5f9fc1e3fb43357b9094a297,02-11-2020 13:52,Fashion Design,Enamor,Bangalore,Immediately, 5000 /month,2 Months,11 Nov' 20,Internship,"[""MS-Office"",""Adobe Illustrator"",""CorelDRAW"",""Certificate""]",,,,,,,,,,
5f9fc1e4fb43357b9094a298,02-11-2020 13:52,Operations,Lakshmi Tools & Components,Hoskote,Immediately, 12000 /month,1 Month,16 Nov' 20,Internship,"[""Chemistry"",""Certificate"","" Letter of recommendation"","" Informal dress code"","" Free snacks & beverages""]",,,,,,,,,,
5f9fc1e4fb43357b9094a299,02-11-2020 13:53,Photography,Evineon Technologies,Bangalore,Immediately, 10000-12000 /month,3 Months,16 Nov' 20,Internship,"[""Flexible work hours"","" Free snacks & beverages""]",,,,,,,,,,
5f9fc1e5fb43357b9094a29a,02-11-2020 13:53,Social Media Marketing,VisualNet Private Limited,Bangalore,Immediately, 7000 /month,6 Months,16 Nov' 20,Internship,"[""MS-Office"",""Certificate"","" Letter of recommendation"","" Flexible work hours"","" Informal dress code"","" 5 days a week"","" Free snacks & beverages""]",,,,,,,,,,
5f9fc1e6fb43357b9094a29b,02-11-2020 13:53,Business Development (Sales),DM Consulting (India) Private Limited,Bangalore,Immediately, 5000 /month,6 Months,16 Nov' 20,Internship,[],,,,,,,,,,
5f9fc1e7fb43357b9094a29c,02-11-2020 13:53,Social Media Marketing,"Zyena Technologies SDN, BHD, Malaysia",Coimbatore,Immediately, 5000-10000 /month,3 Months,16 Nov' 20,Internship with job offer,"[""Digital Marketing"",""Certificate"","" Letter of recommendation"","" Flexible work hours"","" Informal dress code"","" 5 days a week"","" Free snacks & beverages"","" Job offer""]",,,,,,,,,,
5f9fc1e8fb43357b9094a29d,02-11-2020 13:53,Event Management/Wedding Planning,Visual Reality Events & Production,Bangalore,Immediately, 2000-3000 /month,3 Months,16 Nov' 20,Internship with job offer,"[""MS-PowerPoint"",""English Proficiency (Spoken)"",""English Proficiency (Written)"",""Certificate"","" Letter of recommendation"","" Job offer""]",,,,,,,,,,
5f9fc1e9fb43357b9094a29e,02-11-2020 13:53,Digital Marketing,Webi7 Digital Media,Bangalore,Immediately, 5000 /month,3 Months,16 Nov' 20,Internship,"[""Digital Marketing"",""Certificate"","" Letter of recommendation"","" Informal dress code"","" Free snacks & beverages""]",,,,,,,,,,
5f9fc1eafb43357b9094a29f,02-11-2020 13:53,Graphic Design,StoreEDge Solutions Private Limited,Bangalore,Immediately, 4000-7000 /month,6 Months,16 Nov' 20,Internship,"[""Social Media Marketing"",""Adobe Photoshop"",""Video Editing"",""Digital Marketing"",""Video Making"",""Certificate"","" Informal dress code""]",,,,,,,,,,
5f9fc1ebfb43357b9094a2a0,02-11-2020 13:53,Cyber Security,Resec Systems Private Limited,Chandigarh,Immediately, 8000 /month,6 Months,16 Nov' 20,Internship with job offer,"[""Python"",""Linux"",""Ethical Hacking"",""C Programming"",""Shell Scripting"",""C++ Programming"",""Certificate"","" Letter of recommendation"","" Job offer""]",,,,,,,,,,
5f9fc1ebfb43357b9094a2a1,02-11-2020 13:53,Business Development (Sales),Transchamp,Bangalore,Immediately, 15000-18000 /month,6 Months,16 Nov' 20,Internship,"[""Salesforce"",""Certificate""]",,,,,,,,,,
5f9fc1ecfb43357b9094a2a2,02-11-2020 13:53,Business Development (Sales),Gayathri Design Studio,Bangalore,Immediately, 3000 /month,3 Months,16 Nov' 20,Internship,"[""Tally"",""MS-Excel"",""English Proficiency (Spoken)"",""English Proficiency (Written)"",""Hindi Proficiency (Spoken)"",""Kannada Proficiency (Spoken)"",""Certificate"","" Free snacks & beverages""]",,,,,,,,,,
5f9fc1edfb43357b9094a2a3,02-11-2020 13:53,Java App Development (Spring Boot & Hibernate),TesQuirel Solutions Private Limited,Bangalore,Immediately, 8000 /month,6 Months,16 Nov' 20,Internship,"[""SQL"",""Hibernate (Java)"",""Spring MVC"",""REST API"",""Certificate"","" Letter of recommendation"","" Informal dress code"","" Free snacks & beverages""]",,,,,,,,,,
5f9fc1eefb43357b9094a2a4,02-11-2020 13:53,Python Web Application,TesQuirel Solutions Private Limited,Bangalore,Immediately, 8000 /month,6 Months,16 Nov' 20,Internship,"[""Python"",""Algorithms"",""Data Structures"",""Flask"",""Certificate"","" Letter of recommendation"","" Informal dress code"","" Free snacks & beverages""]",,,,,,,,,,
5f9fc1eefb43357b9094a2a5,02-11-2020 13:53,Graphic Design,Knedge,Bangalore,Immediately, 8000-12000 /month,3 Months,16 Nov' 20,Internship,"[""Adobe Photoshop"",""Adobe Illustrator"",""Adobe Premiere Pro"",""Adobe Creative Suite"",""Adobe After Effects"",""Certificate"","" Letter of recommendation"","" Flexible work hours"","" 5 days a week""]",,,,,,,,,,
5f9fc1effb43357b9094a2a6,02-11-2020 13:53,Search Engine Optimization (SEO),Webi7 Digital Media,Bangalore,Immediately, 5000 /month,3 Months,15 Nov' 20,Internship,"[""Search Engine Optimization (SEO)"",""Certificate"","" Letter of recommendation"","" Informal dress code"","" Free snacks & beverages""]",,,,,,,,,,
5f9fc1f0fb43357b9094a2a7,02-11-2020 13:53,Social Media Marketing,Bodhsara Wellness And Salt Studio,Bangalore,Immediately, 9000-12000 /month,3 Months,15 Nov' 20,Internship,"[""Certificate"","" Letter of recommendation"","" Informal dress code"","" Free snacks & beverages""]",,,,,,,,,,
5f9fc1f1fb43357b9094a2a8,02-11-2020 13:53,Human Resources (HR),Brainstorm Consulting,Bangalore,Immediately, 10000-20000 /month,6 Months,15 Nov' 20,Internship,"[""Recruitment"",""English Proficiency (Spoken)"",""Certificate""]",,,,,,,,,,
5f9fc1f2fb43357b9094a2a9,02-11-2020 13:53,Graphic Design,Inovexic,Bangalore,Immediately, 7000-13000 /month,2 Months,15 Nov' 20,Internship,"[""Social Media Marketing"",""Adobe Photoshop"",""Adobe Illustrator"",""Adobe Creative Suite"",""Copywriting"",""Certificate"","" Letter of recommendation"","" Flexible work hours"","" Informal dress code"","" 5 days a week""]",,,,,,,,,,
5f9fc1f3fb43357b9094a2aa,02-11-2020 13:53,Social Media Marketing,Cloud Incorporated,Bangalore,Immediately, 4000 /month,4 Weeks,15 Nov' 20,Internship,"[""Social Media Marketing"",""Certificate"","" 5 days a week""]",,,,,,,,,,
5f9fc1f3fb43357b9094a2ab,02-11-2020 13:53,Business Development (Sales),OAP India Private Limited,Bangalore,Immediately, 7000-12000 /month,6 Months,15 Nov' 20,Internship,"[""Certificate"","" Letter of recommendation"","" Informal dress code"","" 5 days a week""]",,,,,,,,,,
5f9fc1f5fb43357b9094a2ac,02-11-2020 13:53,Law/ Legal,Prashant  Dayama,Bangalore,Immediately, 5000 /month,6 Months,15 Nov' 20,Internship,"[""MS-Office"",""MS-PowerPoint"",""Certificate""]",,,,,,,,,,
5f9fc1f6fb43357b9094a2ad,02-11-2020 13:53,iOS App Development,Gloify,Bangalore,Immediately, 10000 /month,4 Months,15 Nov' 20,Internship with job offer,"[""Objective C"",""Swift"",""iOS"",""Certificate"","" Letter of recommendation"","" 5 days a week"","" Job offer""]",,,,,,,,,,
5f9fc1f7fb43357b9094a2ae,02-11-2020 13:53,Business Development (Sales),INEL Power System Engineers,Bangalore,Immediately, 3000 /month,3 Months,15 Nov' 20,Internship with job offer,"[""MS-Word"",""Digital Marketing"",""Email Marketing"",""MS-Excel"",""English Proficiency (Spoken)"",""Kannada Proficiency (Spoken)"",""Certificate"","" Letter of recommendation"","" 5 days a week"","" Free snacks & beverages"","" Job offer""]",,,,,,,,,,
5f9fc1f7fb43357b9094a2af,02-11-2020 13:53,Customer Support,Skillate Laboratories Private Limited,Bangalore,Immediately, 15000 /month,6 Months,15 Nov' 20,Internship with job offer,"[""Certificate"","" Letter of recommendation"","" Informal dress code"","" 5 days a week"","" Free snacks & beverages"","" Job offer""]",,,,,,,,,,
5f9fc1f9fb43357b9094a2b0,02-11-2020 13:53,Business Development (Sales),United Business,Bangalore,Immediately, 2000 /month +  Incentives,2 Months,15 Nov' 20,Internship,"[""Certificate""]",,,,,,,,,,
5f9fc1fafb43357b9094a2b1,02-11-2020 13:53,Firmware Development,Craftech 360,Bangalore,Immediately, 3500 /month,3 Months,15 Nov' 20,Internship,"[""Python"",""Embedded Systems"",""C Programming"",""PCB Design"",""Internet of Things (IoT)"",""EAGLE""]",,,,,,,,,,
5f9fc1fafb43357b9094a2b2,02-11-2020 13:53,Operations,UrbanServ,Delhi,Immediately, 12000 /month,6 Months,15 Nov' 20,Internship,[],,,,,,,,,,
5f9fc1fbfb43357b9094a2b3,02-11-2020 13:53,Marketing,Mech Skillz Engineering Solutions Private Limited,Delhi,Immediately, 8000-12000 /month,2 Months,15 Nov' 20,Internship with job offer,"[""English Proficiency (Spoken)"",""Certificate"","" Letter of recommendation"","" Flexible work hours"","" Job offer""]",,,,,,,,,,
